source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Source_Tumor_CSC,Target_PBMC_NK,ADAM10,IL6R,0.23095758,1.0,0.053295538,-0.0640824943918504,0.0564877339870814,0.2959355,0.7318617,1.0,0.8273238332538251
Source_Tumor_CSC,Target_PBMC_NK,CXCL2,DPP4,0.28212908,0.0,0.038988866,0.12628762201585336,0.5308084148046537,0.36034355,0.70010555,0.19658804776156294,0.8320157533261636
Source_Tumor_CSC,Target_PBMC_NK,VWF,SIRPA,0.4426871,0.0,0.15855058,0.6138769505461119,1.3093025616341967,0.6113912,0.82479805,0.052840293692707256,0.8327653384674127
Source_Tumor_CSC,Target_PBMC_NK,GNAI2,F2R,0.55954814,1.0,0.12834944,-0.2632628606074901,-0.1652079777171124,0.20538305,0.80900234,1.0,0.8336002585535517
Source_Tumor_CSC,Target_PBMC_NK,ADAM17,ITGA5,0.23005258,1.0,0.046776395,-0.08929139081404501,-0.10534551027892014,0.19657497,0.71886766,1.0,0.8343682366569236
Source_Tumor_CSC,Target_PBMC_NK,SEMA7A,PLXNC1,0.12784766,0.0,0.012510064,0.1823290158099445,0.08409446048794006,0.55635875,0.5694063,0.4649252099308006,0.8357439231649417
Source_Tumor_CSC,Target_PBMC_NK,CCN1,ITGA5,0.36282045,0.0,0.12868367,0.552341669957912,0.9772611312626606,0.5466385,0.8092032,0.052840293692707256,0.8383142512529995
Source_Tumor_CSC,Target_PBMC_NK,VCAN,SELL,0.38377696,1.0,0.12888116,-0.28038568037671885,-0.7892261333974075,0.120936945,0.8093216,1.0,0.8430459822261718
Source_Tumor_CSC,Target_PBMC_NK,MDK,NOTCH2,0.22815363,0.0,0.046906844,0.383505010922327,0.4466488577163773,0.7186853,0.719149,0.052840293692707256,0.8438227437389212
Source_Tumor_CSC,Target_PBMC_NK,CCN2,ITGA5,0.43960923,0.0,0.17605628,0.645598930487188,1.1325349874257324,0.5466253,0.8322368,0.052840293692707256,0.8553875642772031
